site_no,spot_no,year,date,bleaching_all,env_group,lat,dhw_logger,dhw_mur_raw,dhw_mur_corr,dhw_mur_corr_adj,days30_logger,days30_mur_raw,days30_mur_corr,bleaching_binary,dhw_coraltemp_raw,dhw_coraltemp_corr,days30_coraltemp_raw,days30_coraltemp_corr,lat_band
14,77,2024,2024-11-03,87.5,閉鎖系,24.291417,0.6336797235023016,0.1084677419354831,0.5782258064516098,1.0067972350230394,48.0,42.0,42.0,1,0.6398387096774216,0.6398387096774216,48.0,35.0,24-26°N (八重山)
14,82,2020,2020-11-12,40.0,閉鎖系,24.252139,0.0,0.0,0.0,0.0,9.0,10.0,10.0,1,0.0,0.0,7.0,1.0,24-26°N (八重山)
14,82,2021,2021-11-01,54.0,閉鎖系,24.252139,,,,,,,,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
14,82,2022,2022-10-25,92.5,閉鎖系,24.252139,0.3156866359447008,0.371486175115207,0.5791244239631322,0.7505529953917041,38.0,38.0,38.0,1,0.20567972350230437,0.20567972350230437,37.0,36.0,24-26°N (八重山)
14,82,2023,2023-11-12,47.5,閉鎖系,24.252139,0.0,0.0167050691244234,0.1309907834101373,0.2167050691244232,23.0,9.0,9.0,1,0.0,0.0,9.0,0.0,24-26°N (八重山)
14,82,2024,2024-11-21,99.0,閉鎖系,24.252139,0.0,0.0,0.0,0.0,30.0,24.0,24.0,1,0.0,0.0,30.0,23.0,24-26°N (八重山)
15,22,2020,2020-11-08,63.5,外洋系,24.301194,0.0,0.001520737327189,0.001520737327189,0.1546543778801847,9.0,17.0,17.0,1,0.0,0.0,8.0,4.0,24-26°N (八重山)
15,22,2021,2021-10-30,72.5,外洋系,24.301194,,,,,,,,1,0.0,0.0,0.0,0.0,24-26°N (八重山)
15,22,2022,2022-10-24,92.5,外洋系,24.301194,0.2571244239631335,0.4060829493087569,0.4060829493087569,0.5775115207373288,38.0,38.0,38.0,1,0.2656221198156687,0.2656221198156687,38.0,37.0,24-26°N (八重山)
15,22,2023,2023-11-11,40.0,外洋系,24.301194,0.0,0.0,0.0,0.1132258064516139,14.0,13.0,13.0,1,0.0,0.0,5.0,0.0,24-26°N (八重山)
15,22,2024,2024-11-19,87.5,外洋系,24.301194,0.0,0.0,0.0,0.0,33.0,26.0,26.0,1,0.0,0.0,27.0,22.0,24-26°N (八重山)
