site_no,spot_no,site_name,spot_name,lat,lon,prefecture,landform,substrate,has_logger
8,7,大東諸島,海軍棒前,25.832883,131.268883,沖縄県,,,False
8,8,大東諸島,海軍棒プール*,25.832539,131.267239,沖縄県,,,False
8,9,大東諸島,ｱｶﾂｷﾎﾟｲﾝﾄ,25.839533,131.269367,沖縄県,,,False
8,10,大東諸島,ｱｶﾂｷﾎﾟｲﾝﾄ（20m）,25.839533,131.269367,沖縄県,,,False
8,11,大東諸島,北のﾊﾅ・東,25.961917,131.286383,沖縄県,,,False
8,12,大東諸島,北のﾊﾅ・南,25.960617,131.28395,沖縄県,,,False
8,13,大東諸島,北大東南端,25.927533,131.309217,沖縄県,,,False
8,14,大東諸島,ﾆｲｹｲｶﾞﾏ（二階釜）,25.93475,131.324867,沖縄県,,,False
8,15,大東諸島,真黒崎,25.951267,131.332983,沖縄県,,,False
8,16,大東諸島,海軍棒前・深場,25.832694,131.268694,沖縄県,,,False
8,17,大東諸島,塩屋プール*,25.826911,131.2154,沖縄県,,,False
8,18,大東諸島,ながやの下南側・浅瀬,25.837028,131.216833,沖縄県,,,False
9,1,宮古島周辺,池間島北カギンミ,24.941528,125.245306,沖縄県,礁池,岩・砂,True
9,2,宮古島周辺,池間島東チュラビジ,24.934194,125.259639,沖縄県,礁縁,岩,False
9,3,宮古島周辺,平良狩俣西,24.9005,125.259639,沖縄県,礁縁,岩,True
9,4,宮古島周辺,伊良部下地島カヤッファ,24.812583,125.143056,沖縄県,礁池,岩・砂,False
9,5,宮古島周辺,伊良部下地島渡口沖離礁,24.797806,125.161917,沖縄県,離礁,岩・砂,True
9,6,宮古島周辺,来間島東ヨコターラ,24.719444,125.264278,沖縄県,礁縁,岩,True
9,7,宮古島周辺,上野博愛沖友利大ビセ,24.714028,125.330278,沖縄県,礁池,岩・砂,False
9,8,宮古島周辺,城辺吉野海岸,24.748333,125.443111,沖縄県,礁池,岩・砂,False
9,9,宮古島周辺,城辺ツフツワ干瀬北,24.841083,125.391639,沖縄県,離礁・礁縁,岩,True
9,10,宮古島周辺,平良高野漁港沖二段干瀬,24.828417,125.347194,沖縄県,礁縁,岩,False
10,1,八重干瀬,八重干瀬ウル西,25.017056,125.246556,沖縄県,離礁・礁縁,岩・砂,False
10,2,八重干瀬,八重干瀬カナマラ中央南,25.016917,125.267417,沖縄県,離礁・礁縁,岩,True
10,3,八重干瀬,八重干瀬クンカディ・ガマ,24.996944,125.234778,沖縄県,離礁・礁縁,岩,True
